Id,year,statename,pcname,candidate,sex,age,category,partydesc,party,symbol,evm,postal,total,overelectors,overpolled,electors,rank,polled,win,runner,alliance
1,2019,ANDAMAN & NICOBAR ISLANDS,Andaman And Nicobar Islands,KULDEEP RAI SHARMA,,,GEN,Indian National Congress,INC,,95249,59,95308,,45.98,,1,207296,1,0,UPA
2,2019,ANDAMAN & NICOBAR ISLANDS,Andaman And Nicobar Islands,VISHAL JOLLY,,,GEN,Bharatiya Janata Party,BJP,,93772,129,93901,,45.3,,2,207296,0,1,OTHERS
3,2019,ANDAMAN & NICOBAR ISLANDS,Andaman And Nicobar Islands,PARITOSH KUMAR HALDAR,,,GEN,Independent,IND,,5339,2,5341,,2.58,,3,207296,0,0,OTHERS
4,2019,ANDAMAN & NICOBAR ISLANDS,Andaman And Nicobar Islands,SANJAY MESHACK,,,GEN,Aam Aadmi Party,AAP,,2837,2,2839,,1.37,,4,207296,0,0,OTHERS
5,2019,ANDAMAN & NICOBAR ISLANDS,Andaman And Nicobar Islands,PRAKASH MINJ,,,GEN,Bahujan Samaj Party,BSP,,2478,8,2486,,1.2,,5,207296,0,0,OTHERS
6,2019,ANDAMAN & NICOBAR ISLANDS,Andaman And Nicobar Islands,AYAN MANDAL,,,GEN,All India Trinamool Congress,AITC,,1717,4,1721,,0.83,,6,207296,0,0,OTHERS
7,2019,ANDAMAN & NICOBAR ISLANDS,Andaman And Nicobar Islands,NOTA,,,GEN,None of the Above,NA,,1411,1,1412,,0.68,,7,207296,0,0,OTHERS
8,2019,ANDAMAN & NICOBAR ISLANDS,Andaman And Nicobar Islands,HENRY,,,GEN,Independent,IND,,994,0,994,,0.48,,8,207296,0,0,OTHERS
9,2019,ANDAMAN & NICOBAR ISLANDS,Andaman And Nicobar Islands,K VENKAT RAM BABU,,,GEN,Independent,IND,,914,0,914,,0.44,,9,207296,0,0,OTHERS
10,2019,ANDAMAN & NICOBAR ISLANDS,Andaman And Nicobar Islands,MINATI BISWAS,,,GEN,Independent,IND,,615,3,618,,0.3,,10,207296,0,0,OTHERS
11,2019,ANDAMAN & NICOBAR ISLANDS,Andaman And Nicobar Islands,S SUDERSHAN RAO,,,GEN,Independent,IND,,475,0,475,,0.23,,11,207296,0,0,OTHERS
12,2019,ANDAMAN & NICOBAR ISLANDS,Andaman And Nicobar Islands,V V KHALID,,,GEN,Independent,IND,,305,1,306,,0.15,,12,207296,0,0,OTHERS
13,2019,ANDAMAN & NICOBAR ISLANDS,Andaman And Nicobar Islands,K KALIMUTHU,,,GEN,Independent,IND,,269,6,275,,0.13,,13,207296,0,0,OTHERS
14,2019,ANDAMAN & NICOBAR ISLANDS,Andaman And Nicobar Islands,C U RASHEED,,,GEN,Independent,IND,,272,1,273,,0.13,,14,207296,0,0,OTHERS
15,2019,ANDAMAN & NICOBAR ISLANDS,Andaman And Nicobar Islands,GOUR CHANDRA MAJUMDER,,,GEN,Independent,IND,,221,0,221,,0.11,,15,207296,0,0,OTHERS
16,2019,ANDAMAN & NICOBAR ISLANDS,Andaman And Nicobar Islands,C G SAJI KUMAR,,,GEN,All India Hindustan Congress Party,AIHCP,,212,0,212,,0.1,,16,207296,0,0,OTHERS
17,2019,ANDHRA PRADESH,Amalapuram (SC),CHINTA ANURADHA,,,SC,Yuvajana Sramika Rythu Congress Party,YSRCP,,482003,3955,485958,,39.42,,1,1232895,1,0,OTHERS
18,2019,ANDHRA PRADESH,Amalapuram (SC),GANTI HARISH MADHUR (BALAYOGI),,,SC,Telugu Desam,TD,,443590,2573,446163,,36.19,,2,1232895,0,1,OTHERS
19,2019,ANDHRA PRADESH,Amalapuram (SC),D M R SEKHAR,,,SC,Janasena Party,JP,,253740,1577,255317,,20.71,,3,1232895,0,0,OTHERS
20,2019,ANDHRA PRADESH,Amalapuram (SC),NOTA,,,SC,None of the Above,NA,,16427,41,16468,,1.34,,4,1232895,0,0,OTHERS
21,2019,ANDHRA PRADESH,Amalapuram (SC),AYYAJI VEMA MANEPALLI,,,SC,Bharatiya Janata Party,BJP,,11376,158,11534,,0.94,,5,1232895,0,0,OTHERS
22,2019,ANDHRA PRADESH,Amalapuram (SC),JANGA GOUTHAM,,,SC,Indian National Congress,INC,,7849,38,7887,,0.64,,6,1232895,0,0,OTHERS
23,2019,ANDHRA PRADESH,Amalapuram (SC),REVU SUDHAKAR,,,SC,Independent,IND,,2774,1,2775,,0.23,,7,1232895,0,0,OTHERS
24,2019,ANDHRA PRADESH,Amalapuram (SC),MORTHA SIVA RAMA KRISHNA,,,SC,Pyramid Party of India,PPI,,1950,4,1954,,0.16,,8,1232895,0,0,OTHERS
25,2019,ANDHRA PRADESH,Amalapuram (SC),PANTHAGADA VIJAYA CHAKRAVARTHY,,,SC,Republican Party of India (Khobragade),RPI(K)-II,,1804,0,1804,,0.15,,9,1232895,0,0,OTHERS
26,2019,ANDHRA PRADESH,Amalapuram (SC),MURALIKRISHNA KANDERI,,,SC,India Praja Bandhu Party,IPBP,,1803,1,1804,,0.15,,9,1232895,0,0,OTHERS
27,2019,ANDHRA PRADESH,Amalapuram (SC),CHELLE RAJANI,,,SC,Jana Jagruti Party,JJP,,1231,0,1231,,0.1,,11,1232895,0,0,OTHERS
28,2019,ANDHRA PRADESH,Anakapalli,Dr.Beesetti Venkata Satyavathi,,,GEN,Yuvajana Sramika Rythu Congress Party,YSRCP,,583210,3016,586226,,47.33,,1,1238491,1,0,OTHERS
29,2019,ANDHRA PRADESH,Anakapalli,ADARI ANAND KUMAR,,,GEN,Telugu Desam,TD,,495381,1653,497034,,40.13,,2,1238491,0,1,OTHERS
30,2019,ANDHRA PRADESH,Anakapalli,Chintala Partha Sarathi,,,GEN,Janasena Party,JP,,82126,462,82588,,6.67,,3,1238491,0,0,OTHERS
31,2019,ANDHRA PRADESH,Anakapalli,NOTA,,,GEN,None of the Above,NA,,34877,20,34897,,2.82,,4,1238491,0,0,OTHERS
32,2019,ANDHRA PRADESH,Anakapalli,Dr. Gandi Venkata Satyanarayana Rao (Dr Vikram),,,GEN,Bharatiya Janata Party,BJP,,12888,388,13276,,1.07,,5,1238491,0,0,OTHERS
33,2019,ANDHRA PRADESH,Anakapalli,Ruthala Srirama Murthy,,,GEN,Indian National Congress,INC,,10072,49,10121,,0.82,,6,1238491,0,0,OTHERS
34,2019,ANDHRA PRADESH,Anakapalli,Vadlamuri Krishna Swaroop,,,GEN,Dalita Bahujana Party,DBP,,4443,1,4444,,0.36,,7,1238491,0,0,OTHERS
35,2019,ANDHRA PRADESH,Anakapalli,Appala Naidu Tummagunta,,,GEN,Independent,IND,,3760,5,3765,,0.3,,8,1238491,0,0,OTHERS
36,2019,ANDHRA PRADESH,Anakapalli,P.S.AJAY KUMAR,,,GEN,Communist Party of India (Marxist-Leninist) (Liberation),CPI(M)(L),,2708,8,2716,,0.22,,9,1238491,0,0,OTHERS
37,2019,ANDHRA PRADESH,Anakapalli,Taadi Veera Jagadeeshwari,,,GEN,Pyramid Party of India,PPI,,1801,2,1803,,0.15,,10,1238491,0,0,OTHERS
38,2019,ANDHRA PRADESH,Anakapalli,K B SWAROOP,,,GEN,Jana Jagruti Party,JJP,,1615,6,1621,,0.13,,11,1238491,0,0,OTHERS
39,2019,ANDHRA PRADESH,Anantapur,TALARI RANGAIAH,,,GEN,Yuvajana Sramika Rythu Congress Party,YSRCP,,690901,4307,695208,,51.79,,1,1342306,1,0,OTHERS
40,2019,ANDHRA PRADESH,Anantapur,J.C. PAVAN REDDY,,,GEN,Telugu Desam,TD,,550597,3183,553780,,41.26,,2,1342306,0,1,OTHERS
41,2019,ANDHRA PRADESH,Anantapur,K.RAJIV REDDY,,,GEN,Indian National Congress,INC,,29994,85,30079,,2.24,,3,1342306,0,0,OTHERS
42,2019,ANDHRA PRADESH,Anantapur,D.JAGADEESH,,,GEN,Communist Party of India,CPI,,20192,102,20294,,1.51,,4,1342306,0,0,OTHERS
43,2019,ANDHRA PRADESH,Anantapur,NOTA,,,GEN,None of the Above,NA,,16406,60,16466,,1.23,,5,1342306,0,0,OTHERS
44,2019,ANDHRA PRADESH,Anantapur,HAMSA DEVINENI,,,GEN,Bharatiya Janata Party,BJP,,7440,164,7604,,0.57,,6,1342306,0,0,OTHERS
45,2019,ANDHRA PRADESH,Anantapur,S.V.P. YADAV,,,GEN,Independent,IND,,4398,0,4398,,0.33,,7,1342306,0,0,OTHERS
46,2019,ANDHRA PRADESH,Anantapur,P. RANGAIAH,,,GEN,Independent,IND,,3580,8,3588,,0.27,,8,1342306,0,0,OTHERS
47,2019,ANDHRA PRADESH,Anantapur,SOMANATH DESHMUKH,,,GEN,Independent,IND,,3236,1,3237,,0.24,,9,1342306,0,0,OTHERS
48,2019,ANDHRA PRADESH,Anantapur,VADDE KASINATH,,,GEN,Independent,IND,,2063,3,2066,,0.15,,10,1342306,0,0,OTHERS
49,2019,ANDHRA PRADESH,Anantapur,L. RANGAIAH,,,GEN,Independent,IND,,1688,3,1691,,0.13,,11,1342306,0,0,OTHERS
50,2019,ANDHRA PRADESH,Anantapur,P.RADHA KRISHNA,,,GEN,Radical Democrats,RD,,1219,1,1220,,0.09,,12,1342306,0,0,OTHERS
51,2019,ANDHRA PRADESH,Anantapur,M.VENKATESULU,,,GEN,Pyramid Party of India,PPI,,1043,5,1048,,0.08,,13,1342306,0,0,OTHERS
52,2019,ANDHRA PRADESH,Anantapur,G. LALITHA,,,GEN,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),SUCOI(C),,890,9,899,,0.07,,14,1342306,0,0,OTHERS
53,2019,ANDHRA PRADESH,Anantapur,GADIDAMA RANGANAYAKULU,,,GEN,Vishwa Jana Party,VJP,,728,0,728,,0.05,,15,1342306,0,0,OTHERS
54,2019,ANDHRA PRADESH,Araku (ST),GODDETI. MADHAVI,,,ST,Yuvajana Sramika Rythu Congress Party,YSRCP,,557561,4629,562190,,52.32,,1,1074538,1,0,OTHERS
55,2019,ANDHRA PRADESH,Araku (ST),KISHORE CHANDRA DEO,,,ST,Telugu Desam,TD,,336163,1938,338101,,31.46,,2,1074538,0,1,OTHERS
56,2019,ANDHRA PRADESH,Araku (ST),NOTA,,,ST,None of the Above,NA,,47955,22,47977,,4.46,,3,1074538,0,0,OTHERS
57,2019,ANDHRA PRADESH,Araku (ST),GANGULAIAH VAMPURU.,,,ST,Janasena Party,JP,,42245,549,42794,,3.98,,4,1074538,0,0,OTHERS
58,2019,ANDHRA PRADESH,Araku (ST),Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,,,ST,Bharatiya Janata Party,BJP,,17578,289,17867,,1.66,,5,1074538,0,0,OTHERS
59,2019,ANDHRA PRADESH,Araku (ST),SHRUTI DEVI VYRICHERLA,,,ST,Indian National Congress,INC,,17656,74,17730,,1.65,,6,1074538,0,0,OTHERS
60,2019,ANDHRA PRADESH,Araku (ST),KANGALA BALUDORA,,,ST,Independent,IND,,13810,16,13826,,1.29,,7,1074538,0,0,OTHERS
61,2019,ANDHRA PRADESH,Araku (ST),NARAVA SATYAVATHI,,,ST,Independent,IND,,11231,5,11236,,1.05,,8,1074538,0,0,OTHERS
62,2019,ANDHRA PRADESH,Araku (ST),ANUMULA VAMSIKRISHNA,,,ST,Independent,IND,,10211,29,10240,,0.95,,9,1074538,0,0,OTHERS
63,2019,ANDHRA PRADESH,Araku (ST),BIDDIKA RAMAYYA.,,,ST,Independent,IND,,7863,4,7867,,0.73,,10,1074538,0,0,OTHERS
64,2019,ANDHRA PRADESH,Araku (ST),SWAMULA. SUBRAHMANYAM,,,ST,Jana Jagruti Party,JJP,,4705,5,4710,,0.44,,11,1074538,0,0,OTHERS
65,2019,ANDHRA PRADESH,Bapatla (SC),NANDIGAM SURESH,,,SC,Yuvajana Sramika Rythu Congress Party,YSRCP,,592250,6007,598257,,47.24,,1,1266492,1,0,OTHERS
66,2019,ANDHRA PRADESH,Bapatla (SC),MALYADRI SRIRAM,,,SC,Telugu Desam,TD,,577403,4789,582192,,45.97,,2,1266492,0,1,OTHERS
67,2019,ANDHRA PRADESH,Bapatla (SC),K. DEVANAND,,,SC,Bahujan Samaj Party,BSP,,42262,318,42580,,3.36,,3,1266492,0,0,OTHERS
68,2019,ANDHRA PRADESH,Bapatla (SC),NOTA,,,SC,None of the Above,NA,,13178,40,13218,,1.04,,4,1266492,0,0,OTHERS
69,2019,ANDHRA PRADESH,Bapatla (SC),J.D. SEELAM,,,SC,Indian National Congress,INC,,12941,214,13155,,1.04,,5,1266492,0,0,OTHERS
70,2019,ANDHRA PRADESH,Bapatla (SC),CHALLAGALI KISHORE KUMAR,,,SC,Bharatiya Janata Party,BJP,,9842,509,10351,,0.82,,6,1266492,0,0,OTHERS
71,2019,ANDHRA PRADESH,Bapatla (SC),BUSSA NAGARAJU,,,SC,Independent,IND,,1943,8,1951,,0.15,,7,1266492,0,0,OTHERS
72,2019,ANDHRA PRADESH,Bapatla (SC),GOLLA BABURAO,,,SC,Independent,IND,,1271,5,1276,,0.1,,8,1266492,0,0,OTHERS
73,2019,ANDHRA PRADESH,Bapatla (SC),KUMAR KATTEPOGU,,,SC,Pyramid Party of India,PPI,,877,8,885,,0.07,,9,1266492,0,0,OTHERS
74,2019,ANDHRA PRADESH,Bapatla (SC),GELLA NAGAMALLI,,,SC,Independent,IND,,651,4,655,,0.05,,10,1266492,0,0,OTHERS
75,2019,ANDHRA PRADESH,Bapatla (SC),NUTHAKKI RAMA RAO,,,SC,All India Praja Party,AIPP,,600,6,606,,0.05,,11,1266492,0,0,OTHERS
76,2019,ANDHRA PRADESH,Bapatla (SC),GADDE HARI BABU,,,SC,Navodayam Party,NP-II,,521,9,530,,0.04,,12,1266492,0,0,OTHERS
77,2019,ANDHRA PRADESH,Bapatla (SC),CHINA NAGESWARA RAO SADHU,,,SC,Mundadugu Praja Party,MPP,,463,3,466,,0.04,,13,1266492,0,0,OTHERS
78,2019,ANDHRA PRADESH,Bapatla (SC),THUMATI RAVI,,,SC,All Peoples Party,APP,,368,2,370,,0.03,,14,1266492,0,0,OTHERS
79,2019,ANDHRA PRADESH,Chittoor (SC),N. REDDEPPA,,,SC,Yuvajana Sramika Rythu Congress Party,YSRCP,,681325,5467,686792,,52.05,,1,1319472,1,0,OTHERS
80,2019,ANDHRA PRADESH,Chittoor (SC),NARAMALLI SIVA PRASAD,,,SC,Telugu Desam,TD,,545374,4147,549521,,41.65,,2,1319472,0,1,OTHERS
81,2019,ANDHRA PRADESH,Chittoor (SC),CHEEMALA. RANGAPPA,,,SC,Indian National Congress,INC,,24497,146,24643,,1.87,,3,1319472,0,0,OTHERS
82,2019,ANDHRA PRADESH,Chittoor (SC),NOTA,,,SC,None of the Above,NA,,20503,53,20556,,1.56,,4,1319472,0,0,OTHERS
83,2019,ANDHRA PRADESH,Chittoor (SC),C. PUNYAMURTHY,,,SC,Bahujan Samaj Party,BSP,,19952,110,20062,,1.52,,5,1319472,0,0,OTHERS
84,2019,ANDHRA PRADESH,Chittoor (SC),JAYARAM DUGGANI,,,SC,Bharatiya Janata Party,BJP,,10137,359,10496,,0.8,,6,1319472,0,0,OTHERS
85,2019,ANDHRA PRADESH,Chittoor (SC),PALLIPATTU. ABHINAV VISHNU,,,SC,Mundadugu Praja Party,MPP,,3441,4,3445,,0.26,,7,1319472,0,0,OTHERS
86,2019,ANDHRA PRADESH,Chittoor (SC),A. HEMANTH,,,SC,Independent,IND,,2089,5,2094,,0.16,,8,1319472,0,0,OTHERS
87,2019,ANDHRA PRADESH,Chittoor (SC),P. RAMACHANDRAN,,,SC,Independent,IND,,1854,9,1863,,0.14,,9,1319472,0,0,OTHERS
88,2019,ANDHRA PRADESH,Eluru,KOTAGIRI SRIDHAR,,,GEN,Yuvajana Sramika Rythu Congress Party,YSRCP,,672834,3975,676809,,50.97,,1,1327923,1,0,OTHERS
89,2019,ANDHRA PRADESH,Eluru,MAGANTTI VENKATESWARA RAO BABU,,,GEN,Telugu Desam,TD,,509549,1335,510884,,38.47,,2,1327923,0,1,OTHERS
90,2019,ANDHRA PRADESH,Eluru,PENTAPATI PULLARAO,,,GEN,Janasena Party,JP,,76481,346,76827,,5.79,,3,1327923,0,0,OTHERS
91,2019,ANDHRA PRADESH,Eluru,NOTA,,,GEN,None of the Above,NA,,23861,19,23880,,1.8,,4,1327923,0,0,OTHERS
92,2019,ANDHRA PRADESH,Eluru,JETTI GURUNADHA RAO,,,GEN,Indian National Congress,INC,,20284,94,20378,,1.53,,5,1327923,0,0,OTHERS
93,2019,ANDHRA PRADESH,Eluru,CHINNAM RAMA KOTAYYA,,,GEN,Bharatiya Janata Party,BJP,,8317,95,8412,,0.63,,6,1327923,0,0,OTHERS
94,2019,ANDHRA PRADESH,Eluru,Dr.MENDEM. SANTHOSH KUMAR(PEDDABABU),,,GEN,Independent,IND,,3010,0,3010,,0.23,,7,1327923,0,0,OTHERS
95,2019,ANDHRA PRADESH,Eluru,CHINA VENKATA SURYANARAYANA JOSYULA,,,GEN,Pyramid Party of India,PPI,,2932,3,2935,,0.22,,8,1327923,0,0,OTHERS
96,2019,ANDHRA PRADESH,Eluru,MATHE. BOBBY,,,GEN,Republican Party of India (A),RPI(A),,1871,8,1879,,0.14,,9,1327923,0,0,OTHERS
97,2019,ANDHRA PRADESH,Eluru,ALAGA. RAVI KUMAR,,,GEN,Independent,IND,,1648,0,1648,,0.12,,10,1327923,0,0,OTHERS
98,2019,ANDHRA PRADESH,Eluru,V. SIVA RAMA KRISHNA,,,GEN,Jana Jagruti Party,JJP,,1261,0,1261,,0.09,,11,1327923,0,0,OTHERS
99,2019,ANDHRA PRADESH,Guntur,Jayadev Galla,,,GEN,Telugu Desam,TD,,586292,1626,587918,,43.5,,1,1351474,1,0,OTHERS
100,2019,ANDHRA PRADESH,Guntur,Modugula Venugopala Reddy,,,GEN,Yuvajana Sramika Rythu Congress Party,YSRCP,,580840,2873,583713,,43.19,,2,1351474,0,1,OTHERS
101,2019,ANDHRA PRADESH,Guntur,Bonaboyina Srinivasa Rao,,,GEN,Janasena Party,JP,,128746,459,129205,,9.56,,3,1351474,0,0,OTHERS
102,2019,ANDHRA PRADESH,Guntur,Shaik Mastanvali,,,GEN,Indian National Congress,INC,,14124,81,14205,,1.05,,4,1351474,0,0,OTHERS
103,2019,ANDHRA PRADESH,Guntur,Jayaprakash Narayana Valluru,,,GEN,Bharatiya Janata Party,BJP,,11667,174,11841,,0.88,,5,1351474,0,0,OTHERS
104,2019,ANDHRA PRADESH,Guntur,NOTA,,,GEN,None of the Above,NA,,5972,34,6006,,0.44,,6,1351474,0,0,OTHERS
105,2019,ANDHRA PRADESH,Guntur,Mannava Hariprasad,,,GEN,Communist Party of India (Marxist-Leninist) Red Star,CPI(M)RS,,3212,4,3216,,0.24,,7,1351474,0,0,OTHERS
106,2019,ANDHRA PRADESH,Guntur,Dasari Kiran Babu,,,GEN,Independent,IND,,2907,2,2909,,0.22,,8,1351474,0,0,OTHERS
107,2019,ANDHRA PRADESH,Guntur,Umar Basha Shaik,,,GEN,Independent,IND,,2676,0,2676,,0.2,,9,1351474,0,0,OTHERS
108,2019,ANDHRA PRADESH,Guntur,Yanamadala Venkata Suresh,,,GEN,Independent,IND,,1947,0,1947,,0.14,,10,1351474,0,0,OTHERS
109,2019,ANDHRA PRADESH,Guntur,Ramarao Simhadri,,,GEN,Praja Shanthi Party,PSP-IV,,1744,2,1746,,0.13,,11,1351474,0,0,OTHERS
110,2019,ANDHRA PRADESH,Guntur,Sarabandi Raju Sikhinam,,,GEN,Indian Labour Party (Ambedkar Phule),ILP(AP),,1015,2,1017,,0.08,,12,1351474,0,0,OTHERS
111,2019,ANDHRA PRADESH,Guntur,Nagaraju Ekula,,,GEN,Republican Party of India (A),RPI(A),,920,0,920,,0.07,,13,1351474,0,0,OTHERS
112,2019,ANDHRA PRADESH,Guntur,Araveti Hazarath Rao,,,GEN,Pyramid Party of India,PPI,,808,2,810,,0.06,,14,1351474,0,0,OTHERS
113,2019,ANDHRA PRADESH,Guntur,Jacob Vidyasagar Nakka,,,GEN,Viduthalai Chiruthaigal Katchi,VCK,,639,2,641,,0.05,,15,1351474,0,0,OTHERS
114,2019,ANDHRA PRADESH,Guntur,Doppalapudi Veera Das,,,GEN,Independent,IND,,629,0,629,,0.05,,16,1351474,0,0,OTHERS
115,2019,ANDHRA PRADESH,Guntur,Samudrala Chinna Kotaiah,,,GEN,National Dalitha Dhal Party,NDDP,,628,0,628,,0.05,,17,1351474,0,0,OTHERS
116,2019,ANDHRA PRADESH,Guntur,Shaik Jaleel,,,GEN,Navarang Congress Party,NCP-I,,560,3,563,,0.04,,18,1351474,0,0,OTHERS
117,2019,ANDHRA PRADESH,Guntur,Ullagi David Jayakumar,,,GEN,Hardam Manavtawadi Rashtriya Dal,HMRD,,447,0,447,,0.03,,19,1351474,0,0,OTHERS
118,2019,ANDHRA PRADESH,Guntur,Jeldi Raja Mohan,,,GEN,All India Praja Party,AIPP,,437,0,437,,0.03,,20,1351474,0,0,OTHERS
119,2019,ANDHRA PRADESH,Hindupur,KURUVA GORANTLA MADHAV,,,GEN,Yuvajana Sramika Rythu Congress Party,YSRCP,,699739,6863,706602,,52.79,,1,1338514,1,0,OTHERS
120,2019,ANDHRA PRADESH,Hindupur,KRISTAPPA . NIMMALA,,,GEN,Telugu Desam,TD,,561602,4252,565854,,42.27,,2,1338514,0,1,OTHERS
121,2019,ANDHRA PRADESH,Hindupur,KAMAGANAHALLI THIPPESWAMY SREEDHAR (K.T.SREEDHAR),,,GEN,Indian National Congress,INC,,26973,183,27156,,2.03,,3,1338514,0,0,OTHERS
122,2019,ANDHRA PRADESH,Hindupur,NOTA,,,GEN,None of the Above,NA,,17356,72,17428,,1.3,,4,1338514,0,0,OTHERS
123,2019,ANDHRA PRADESH,Hindupur,MITTA PARTHASARATHI,,,GEN,Bharatiya Janata Party,BJP,,13530,275,13805,,1.03,,5,1338514,0,0,OTHERS
124,2019,ANDHRA PRADESH,Hindupur,Ramamohan D.G.,,,GEN,Independent,IND,,2230,1,2231,,0.17,,6,1338514,0,0,OTHERS
125,2019,ANDHRA PRADESH,Hindupur,GOGULA PULAKUNTA JAYANTH,,,GEN,Independent,IND,,1578,4,1582,,0.12,,7,1338514,0,0,OTHERS
126,2019,ANDHRA PRADESH,Hindupur,Mugi Surya Prakash,,,GEN,Independent,IND,,1315,1,1316,,0.1,,8,1338514,0,0,OTHERS
127,2019,ANDHRA PRADESH,Hindupur,Ram Mohan Singamneni,,,GEN,Pyramid Party of India,PPI,,1305,8,1313,,0.1,,9,1338514,0,0,OTHERS
128,2019,ANDHRA PRADESH,Hindupur,S.R.Anjaneyulu,,,GEN,Independent,IND,,1215,12,1227,,0.09,,10,1338514,0,0,OTHERS
129,2019,ANDHRA PRADESH,Kadapa,Y.S.Avinash Reddy,,,GEN,Yuvajana Sramika Rythu Congress Party,YSRCP,,777967,5532,783499,,63.79,,1,1228242,1,0,OTHERS
130,2019,ANDHRA PRADESH,Kadapa,Chadipirala Adi Narayana Reddy,,,GEN,Telugu Desam,TD,,400142,2631,402773,,32.79,,2,1228242,0,1,OTHERS
131,2019,ANDHRA PRADESH,Kadapa,NOTA,,,GEN,None of the Above,NA,,14629,63,14692,,1.2,,3,1228242,0,0,OTHERS
132,2019,ANDHRA PRADESH,Kadapa,Gundlakunta Sreeramulu,,,GEN,Indian National Congress,INC,,8280,61,8341,,0.68,,4,1228242,0,0,OTHERS
133,2019,ANDHRA PRADESH,Kadapa,Gujjula Eswaraiah,,,GEN,Communist Party of India,CPI,,6152,90,6242,,0.51,,5,1228242,0,0,OTHERS
134,2019,ANDHRA PRADESH,Kadapa,Sri Rama Chandra Singareddy,,,GEN,Bharatiya Janata Party,BJP,,3917,168,4085,,0.33,,6,1228242,0,0,OTHERS
135,2019,ANDHRA PRADESH,Kadapa,Venu Gopal Rachineni,,,GEN,Independent,IND,,1748,0,1748,,0.14,,7,1228242,0,0,OTHERS
136,2019,ANDHRA PRADESH,Kadapa,Siva Chandra Reddy Komma,,,GEN,Anna YSR Congress Party,AYCP,,1398,24,1422,,0.12,,8,1228242,0,0,OTHERS
137,2019,ANDHRA PRADESH,Kadapa,Gona Purushottam Reddy,,,GEN,Independent,IND,,1131,3,1134,,0.09,,9,1228242,0,0,OTHERS
138,2019,ANDHRA PRADESH,Kadapa,Peddireddy Showry Subhash Reddy,,,GEN,Independent,IND,,865,0,865,,0.07,,10,1228242,0,0,OTHERS
139,2019,ANDHRA PRADESH,Kadapa,Nyamatulla Shaik,,,GEN,Independent,IND,,755,4,759,,0.06,,11,1228242,0,0,OTHERS
140,2019,ANDHRA PRADESH,Kadapa,Pedakala Varalakshmi,,,GEN,Pyramid Party of India,PPI,,705,11,716,,0.06,,12,1228242,0,0,OTHERS
141,2019,ANDHRA PRADESH,Kadapa,Jakku Chenna Krishna Reddy,,,GEN,Independent,IND,,578,1,579,,0.05,,13,1228242,0,0,OTHERS
142,2019,ANDHRA PRADESH,Kadapa,Ameen Peeran Shaik,,,GEN,Ambedkar National Congress,ANC,,571,2,573,,0.05,,14,1228242,0,0,OTHERS
143,2019,ANDHRA PRADESH,Kadapa,Chadipirala Siva Narayana Reddy,,,GEN,Navarang Congress Party,NCP-I,,445,1,446,,0.04,,15,1228242,0,0,OTHERS
144,2019,ANDHRA PRADESH,Kadapa,Lakshmi Reddy Putha,,,GEN,Rajyadhikara Party,RP,,365,3,368,,0.03,,16,1228242,0,0,OTHERS
145,2019,ANDHRA PRADESH,Kakinada,VANGA GEETHAVISWANATH,,,GEN,Yuvajana Sramika Rythu Congress Party,YSRCP,,534655,2975,537630,,43.54,,1,1234655,1,0,OTHERS
146,2019,ANDHRA PRADESH,Kakinada,CHALAMALASETTY SUNIL,,,GEN,Telugu Desam,TD,,508361,3531,511892,,41.46,,2,1234655,0,1,OTHERS
147,2019,ANDHRA PRADESH,Kakinada,JYOTHULA VENKATESWARA RAO,,,GEN,Janasena Party,JP,,132124,524,132648,,10.74,,3,1234655,0,0,OTHERS
148,2019,ANDHRA PRADESH,Kakinada,NOTA,,,GEN,None of the Above,NA,,17117,36,17153,,1.39,,4,1234655,0,0,OTHERS
149,2019,ANDHRA PRADESH,Kakinada,YALLA VENKATA RAMA MOHAN RAO (DORABABU),,,GEN,Bharatiya Janata Party,BJP,,9456,140,9596,,0.78,,5,1234655,0,0,OTHERS
150,2019,ANDHRA PRADESH,Kakinada,MALLIPUDI SRI RAMACHANDRA MURTHY (RAMBABU),,,GEN,Indian National Congress,INC,,8601,39,8640,,0.7,,6,1234655,0,0,OTHERS
151,2019,ANDHRA PRADESH,Kakinada,KAKILETI RAVINDRA,,,GEN,Independent,IND,,3325,2,3327,,0.27,,7,1234655,0,0,OTHERS
152,2019,ANDHRA PRADESH,Kakinada,APPALAKONDA VANGALAPUDI,,,GEN,Mundadugu Praja Party,MPP,,2997,0,2997,,0.24,,8,1234655,0,0,OTHERS
153,2019,ANDHRA PRADESH,Kakinada,MEDISETTI VIJAYA KUMAR,,,GEN,Independent,IND,,2051,0,2051,,0.17,,9,1234655,0,0,OTHERS
154,2019,ANDHRA PRADESH,Kakinada,GODUGU SATYANARAYANA,,,GEN,Communist Party of India (Marxist-Leninist) (Liberation),CPI(M)(L),,1723,1,1724,,0.14,,10,1234655,0,0,OTHERS
155,2019,ANDHRA PRADESH,Kakinada,B. GEETHA,,,GEN,Praja Shanthi Party,PSP-IV,,1687,1,1688,,0.14,,11,1234655,0,0,OTHERS
156,2019,ANDHRA PRADESH,Kakinada,ANKADI SATHIBABU,,,GEN,Independent,IND,,1381,0,1381,,0.11,,12,1234655,0,0,OTHERS
